State,Statecode,Confirmed,Active,Recovered,Deaths,Last Updated,Latitude,Longitude
Maharashtra,MH,33053,24167,7688,1198,17/05/2020 23:26:23,19.7515,75.7139
Gujarat,GJ,11380,6222,4499,659,17/05/2020 21:47:24,22.2587,71.1924
Tamil Nadu,TN,11224,6973,4172,79,17/05/2020 19:13:23,11.1271,78.6569
Delhi,DL,9755,5405,4202,148,17/05/2020 13:13:24,28.7041,77.1025
Rajasthan,RJ,5202,2016,3055,131,17/05/2020 22:25:24,27.0238,74.2179
Madhya Pradesh,MP,4977,2326,2403,248,17/05/2020 21:03:24,22.9734,78.6569
Uttar Pradesh,UP,4464,1716,2636,112,17/05/2020 22:03:24,26.8467,80.9462
West Bengal,WB,2677,1480,959,238,17/05/2020 19:13:24,22.9868,87.855
Andhra Pradesh,AP,2380,874,1456,50,17/05/2020 19:07:25,15.9129,79.74
Punjab,PB,1964,563,1366,35,17/05/2020 19:23:37,31.1471,75.3412
Telangana,TG,1551,525,992,34,17/05/2020 21:21:19,18.1124,79.0193
Bihar,BR,1320,839,473,8,18/05/2020 01:23:24,25.0961,85.3131
Jammu and Kashmir,JK,1183,595,575,13,17/05/2020 20:28:25,33.7782,76.5762
Karnataka,KA,1147,600,509,37,17/05/2020 19:40:24,15.3173,75.7139
Haryana,HR,910,334,562,14,17/05/2020 19:13:25,29.0588,76.0856
Odisha,OR,828,604,220,4,17/05/2020 16:33:24,20.9517,85.0985
Kerala,KL,602,101,497,4,17/05/2020 18:03:24,10.8505,76.2711
Jharkhand,JH,223,107,113,3,17/05/2020 22:22:26,23.6102,85.2799
Chandigarh,CH,191,137,51,3,16/05/2020 20:29:31,30.7333,76.7794
Tripura,TR,165,80,85,0,18/05/2020 01:33:25,23.9408,91.9882
Assam,AS,101,55,42,2,17/05/2020 22:22:27,26.2006,92.9376
Uttarakhand,UT,92,39,52,1,17/05/2020 17:47:25,30.0668,79.0193
Himachal Pradesh,HP,80,34,40,3,17/05/2020 22:22:28,31.1048,77.1734
Chhattisgarh,CT,85,26,59,0,17/05/2020 23:23:25,21.2787,81.8661
Ladakh,LA,43,19,24,0,15/05/2020 19:33:36,34.2996,78.2932
Andaman and Nicobar Islands,AN,33,0,33,0,07/05/2020 22:24:57,11.7401,92.6586
Goa,GA,29,22,7,0,17/05/2020 23:03:25,15.2993,74.124
Puducherry,PY,16,7,9,0,15/05/2020 08:43:24,11.9416,79.8083
Meghalaya,ML,13,1,11,1,13/05/2020 11:13:25,25.467,91.3662
Manipur,MN,7,5,2,0,16/05/2020 23:23:28,24.6637,93.9063
Mizoram,MZ,1,0,1,0,05/05/2020 22:32:47,23.1645,92.9376
Arunachal Pradesh,AR,1,0,1,0,16/04/2020 19:33:11,28.218,94.7278
Dadra and Nagar Haveli and Daman and Diu,DN,1,0,1,0,12/05/2020 23:23:25,20.2762,73.0083
Nagaland,NL,0,0,0,0,20/04/2020 08:45:07,26.1584,94.5624
Lakshadweep,LD,0,0,0,0,26/03/2020 07:19:29,10.076,73.6303
Sikkim,SK,0,0,0,0,26/03/2020 07:19:29,27.3389,88.6065
